"SYS.STBR-NAME","PO-NO","PO-TYPE","PO-STAT","REQUESTED-BY-NAME-DR","CREATE-DATE4-DV","CREATED-BY-DV","PO-PRT-DATE","VEND-NO","VEND-NAME","INV-DATE-DV","TOT-PO-AMT-CAT","PO-LINE-QTY","PO-LINE-DESC","PO-LINE-PRICE"
"Honda of Concord",494108,"T","O",,"01/23/2017","acctg01","06/16/25",318447,"ASTECH",,248.09,,"CALIBRATION",248.09
"Honda of Concord",494109,"T","O",,"01/23/2017","acctg01","06/16/25",318447,"ASTECH",,194.96,,"POST SCAN",194.96
"Honda of Concord",494110,"T","O",,"01/23/2017","acctg01","06/16/25",318447,"ASTECH",,48.75,,"PRE SCAN",48.75
"Honda of Concord",494111,"T","O",,"01/23/2017","acctg01","06/16/25",318447,"ASTECH",,180.00,,"POST SCAN",180.00
"Honda of Concord",494112,"T","O",,"01/23/2017","acctg01","06/16/25",318447,"ASTECH",,48.75,,"PRE SCAN",48.75
"Honda of Concord",494113,"P","O",,"01/22/2013","parts01","06/16/25",195895,"NAPA AUTO PARTS",,7.66,1,"E358H03D246 Filter, O",7.66
"Honda of Concord",494114,"T","O",,"01/23/2017","acctg01","06/16/25",318447,"ASTECH",,48.75,,"PRE SCAN",48.75
"Honda of Concord",494115,"T","O",,"01/23/2017","acctg01","06/16/25",318447,"ASTECH",,101.21,,"POST SCAN",101.21
"Honda of Concord",494116,"T","O",,"01/23/2017","acctg01","06/16/25",318447,"ASTECH",,210.59,,"CALIBRATION",210.59
"Honda of Concord",494117,"T","O",,"01/23/2017","acctg01","06/16/25",318447,"ASTECH",,101.21,,"POST SCAN",101.21
"Honda of Concord",494118,"T","O",,"01/23/2017","acctg01","06/16/25",318447,"ASTECH",,48.75,,"PRE SCAN",48.75
"Honda of Concord",494119,"T","O",,"01/23/2017","acctg01","06/16/25",318447,"ASTECH",,48.75,,"PRE SCAN",48.75
"Honda of Concord",494120,"P","O",,"08/11/2016","acctg01","06/16/25",304379,"VGP HOLDINGS LLC",,4318.20,1,"HPVPS-FLUSH-KIT",4318.20
"Honda of Concord",494121,"T","O",,"01/23/2017","acctg01","06/16/25",318447,"ASTECH",,158.13,,"POST SCAN",158.13
"Honda of Concord",494122,"T","O",,"01/23/2017","acctg01","06/16/25",318447,"ASTECH",,48.75,,"PRE SCAN",48.75
"Honda of Concord",494123,"T","O",,"01/23/2017","acctg01","06/16/25",318447,"ASTECH",,48.75,,"PRE SCAN",48.75
"Honda of Concord",494124,"P","O",,"04/22/2014","acctg01","06/16/25",999182,"AUDI NORTHLAKE",,0.00,1,"HPSTAGE",0.00
"Honda of Concord",494125,"P","O",,"11/07/2019","acctg01","06/16/25",412774,"ATLANTIC TIRE DISTRIBUTORS",,0.00,1,"HPUC",0.00
"Honda of Concord",494126,"P","O",,"04/13/1999","parts01","06/16/25",30818,"LKQ SALISBURY",,0.00,1,"HPLKQ-engine",0.00
"Honda of Concord",494127,"P","O",,"01/31/2012","acctg01","06/16/25",888169,"HENDRICK CHRYSLER DODGE JEEP RAM FI",,0.00,1,"HPSTAGE",0.00
"Honda of Concord",494128,"P","O",,"12/28/2010","acctg01","06/16/25",168494,"1-800 RADIATOR OF WINSTON-SALEM",,231.00,1,"C-2468 Compresso",231.00
